,Unnamed: 0,Drug,SMILES,feature
49,54,Spiramycin,CC1CC=CC=CC(C(CC(C(C(C(CC(=O)O1)O)OC)OC2C(C(C(C(O2)C)OC3CC(C(C(O3)C)O)(C)O)N(C)C)O)CC=O)C)OC4CCC(C(O4)C)N(C)C,[0. 0. 0. ... 0. 0. 0.]
50,55,Erythromycin,CCC1C(C(C(C(=O)C(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)O)C)C)O)(C)O,[0. 0. 0. ... 0. 0. 0.]
51,56,Clarithromycin,CCC1C(C(C(C(=O)C(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)OC)C)C)O)(C)O,[0. 0. 0. ... 0. 0. 0.]
52,57,Caffeine,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,[0. 0. 0. ... 0. 0. 0.]
53,58,Vanillin,COC1=C(C=CC(=C1)C=O)O,[0. 0. 0. ... 0. 0. 0.]
54,59,Reserpine,COC1C(CC2CN3CCC4=C(C3CC2C1C(=O)OC)NC5=C4C=CC(=C5)OC)OC(=O)C6=CC(=C(C(=C6)OC)OC)OC,[0. 0. 0. ... 0. 0. 0.]
55,60,Procaine,CCN(CC)CCOC(=O)C1=CC=C(C=C1)N,[0. 0. 0. ... 0. 0. 0.]
56,61,Theophylline,CN1C2=C(C(=O)N(C1=O)C)NC=N2,[0. 0. 0. ... 0. 0. 0.]
57,62,Loperamide,CN(C)C(=O)C(CCN1CCC(CC1)(C2=CC=C(C=C2)Cl)O)(C3=CC=CC=C3)C4=CC=CC=C4,[0. 0. 0. ... 0. 1. 0.]
58,63,Verapamil,CC(C)C(CCCN(C)CCC1=CC(=C(C=C1)OC)OC)(C#N)C2=CC(=C(C=C2)OC)OC,[0. 1. 0. ... 0. 0. 0.]
59,64,PMS,C[N+]1=C2C=CC=CC2=NC3=CC=CC=C31.COS(=O)(=O)[O-],[0. 0. 0. ... 0. 0. 0.]
60,65,Pyocyanin,CN1C2=CC=CC=C2N=C3C1=CC=CC3=O,[0. 0. 0. ... 0. 0. 0.]
61,66,Pseudomonic acid,CC(C1C(O1)CC2COC(C(C2O)O)CC(=CC(=O)OCCCCCCCCC(=O)O)C)C(C)O,[0. 1. 0. ... 0. 0. 0.]
62,67,Meropenem,CC1C2C(C(=O)N2C(=C1SC3CC(NC3)C(=O)N(C)C)C(=O)O)C(C)O,[1. 1. 0. ... 0. 0. 0.]
63,68,Colistin,CCC(C)CCCC(=O)NC(CCN)C(=O)NC(C(C)O)C(=O)NC(CCN)C(=O)NC1CCNC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC1=O)CCN)CC(C)C)CC(C)C)CCN)CCN)C(C)O,[0. 1. 0. ... 0. 0. 0.]
64,69,Flucytosine,C1=NC(=O)NC(=C1F)N,[0. 0. 0. ... 0. 0. 0.]
65,70,CHIR-90,O1CCN(CC1)CC2=CC=C(C=C2)C#CC3=CC=C(C(=O)N[C@@H]([C@H](O)C)C(=O)NO)C=C3,[0. 1. 0. ... 0. 0. 0.]
66,71,Triclosan,C1=CC(=C(C=C1Cl)O)OC2=C(C=C(C=C2)Cl)Cl,[0. 0. 0. ... 0. 0. 0.]
67,72,Gentamicin,CC(C1CCC(C(O1)OC2C(CC(C(C2O)OC3C(C(C(CO3)(C)O)NC)O)N)N)N)NC,[0. 1. 0. ... 0. 0. 0.]
68,73,Azithromycin,CCC1C(C(C(N(CC(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)O)C)C)C)O)(C)O,[0. 0. 0. ... 0. 0. 0.]
69,74,Curcumin,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC(=C(C=C2)O)OC)O,[0. 0. 0. ... 0. 0. 0.]
70,75,Berberine,COC1=C(C2=C[N+]3=C(C=C2C=C1)C4=CC5=C(C=C4CC3)OCO5)OC,[0. 0. 0. ... 0. 0. 0.]
71,76,Metformin,CN(C)C(=N)N=C(N)N,[0. 0. 0. ... 0. 0. 0.]
72,77,Phenformin,C1=CC=C(C=C1)CCN=C(N)N=C(N)N,[0. 0. 0. ... 0. 0. 0.]
73,78,Streptozotocin,CN(C(=O)NC1C(C(C(OC1O)CO)O)O)N=O,[0. 0. 0. ... 0. 0. 0.]
74,79,Diclofenac,C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl,[0. 0. 0. ... 0. 0. 0.]
75,80,Acetylsalisylic acid,CC(=O)OC1=CC=CC=C1C(=O)O,[0. 0. 0. ... 0. 0. 0.]
76,81,Ciclopirox,CC1=CC(=O)N(C(=C1)C2CCCCC2)O,[0. 0. 1. ... 0. 0. 0.]
77,82,Moxifloxacin,COC1=C2C(=CC(=C1N3CC4CCCNC4C3)F)C(=O)C(=CN2C5CC5)C(=O)O,[0. 0. 0. ... 0. 0. 0.]
78,83,Phleomycin,CC1=C(N=C(N=C1N)C(CC(=O)N)NCC(C(=O)N)N)C(=O)NC(C(C2=CN=CN2)OC3C(C(C(C(O3)CO)O)O)(C)OC4C(C(C(C(O4)CO)O)(C(=O)N)O)O)C(=O)NC(C)C(C(C)C(=O)NC(C(=O)C)C(=O)NCCC5=NC(CS5)C6=NC(=CS6)C(=O)N)O,[0. 1. 0. ... 1. 0. 0.]
79,0,5-Fluorouracil,C1=C(C(=O)NC(=O)N1)F,[0. 0. 0. ... 0. 0. 0.]
80,1,Veliparib,CC1(CCCN1)C2=NC3=C(C=CC=C3N2)C(=O)N,[0. 0. 0. ... 0. 0. 0.]
81,2,MK-1775,CC(C)(C1=NC(=CC=C1)N2C3=NC(=NC=C3C(=O)N2CC=C)NC4=CC=C(C=C4)N5CCN(CC5)C)O,[0. 0. 0. ... 0. 0. 0.]
82,3,915019-65-7,CC(C)(C#N)C1=CC=C(C=C1)N2C3=C4C=C(C=CC4=NC=C3N(C2=O)C)C5=CC6=CC=CC=C6N=C5,[0. 0. 0. ... 0. 0. 0.]
83,4,Bortezomib,B(C(CC(C)C)NC(=O)C(CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)(O)O,[0. 1. 0. ... 0. 0. 0.]
84,5,Carboplatinum,C1CC(C1)(C(=O)O)C(=O)O.N.N.[Pt],[0. 0. 0. ... 0. 0. 0.]
85,6,cyclophosphamide,C1CNP(=O)(OC1)N(CCCl)CCCl,[0. 0. 0. ... 0. 0. 0.]
86,7,Dasatinib,CC1=C(C(=CC=C1)Cl)NC(=O)C2=CN=C(S2)NC3=NC(=NC(=C3)N4CCN(CC4)CCO)C,[0. 0. 0. ... 0. 0. 0.]
87,8,dexamethasone,CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)O)C)O)F)C,[0. 0. 0. ... 0. 0. 0.]
88,9,Dinaciclib,CCC1=C2N=C(C=C(N2N=C1)NCC3=C[N+](=CC=C3)[O-])N4CCCCC4CCO,[0. 0. 0. ... 0. 0. 0.]
89,10,doxorubicin,CC1C(C(CC(O1)OC2CC(CC3=C(C4=C(C(=C23)O)C(=O)C5=C(C4=O)C=CC=C5OC)O)(C(=O)CO)O)N)O,[0. 0. 0. ... 0. 0. 0.]
90,11,Erlotinib,COCCOC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC=CC(=C3)C#C)OCCOC,[0. 0. 0. ... 0. 0. 0.]
91,12,etoposide,CC1OCC2C(O1)C(C(C(O2)OC3C4COC(=O)C4C(C5=CC6=C(C=C35)OCO6)C7=CC(=C(C(=C7)OC)O)OC)O)O,[0. 0. 0. ... 0. 0. 0.]
92,13,gemcitabine,C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)(F)F,[0. 0. 0. ... 0. 0. 0.]
93,14,Lapatinib,CS(=O)(=O)CCNCC1=CC=C(O1)C2=CC3=C(C=C2)N=CN=C3NC4=CC(=C(C=C4)OCC5=CC(=CC=C5)F)Cl,[0. 0. 0. ... 0. 0. 0.]
94,15,MK-2206,C1CC(C1)(C2=CC=C(C=C2)C3=C(C=C4C(=N3)C=CN5C4=NNC5=O)C6=CC=CC=C6)N,[0. 0. 0. ... 0. 0. 0.]
95,16,MK-4541,CC12CCC3C(C1CCC2NC(=O)OCC(F)(F)F)CCC4C3(C=CC(=O)N4C)C,[0. 0. 0. ... 0. 0. 0.]
96,17,Niraparib,C1CC(CNC1)C2=CC=C(C=C2)N3C=C4C=CC=C(C4=N3)C(=O)N,[0. 0. 0. ... 0. 0. 0.]
97,18,MK-5108,C1CC(CCC1OC2=C(C(=CC=C2)Cl)F)(CC3=NC(=CC=C3)NC4=NC=CS4)C(=O)O,[0. 0. 0. ... 0. 0. 0.]
98,19,Deforolimus,CC1CCC2CC(C(=CC=CC=CC(CC(C(=O)C(C(C(=CC(C(=O)CC(OC(=O)C3CCCCN3C(=O)C(=O)C1(O2)O)C(C)CC4CCC(C(C4)OC)OP(=O)(C)C)C)C)O)OC)C)C)C)OC,[0. 1. 0. ... 0. 0. 0.]
99,20,891494-63-6,CN1C=C(C=N1)C2=C3N=C(C(=C(N3N=C2)N)Br)C4CCCNC4,[0. 0. 0. ... 0. 0. 0.]
100,21,MRK003,C1CC2CC3=C(CC1C24CN(S(=O)(=O)N4)CC(F)(F)F)C=CC(=C3)C=CCN5CCC(CC5)C(F)(F)F,[0. 0. 0. ... 0. 0. 0.]
101,22,metformin,CN(C)C(=N)N=C(N)N,[0. 0. 0. ... 0. 0. 0.]
102,23,methotrexate,CN(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O,[0. 1. 0. ... 0. 0. 0.]
103,24,mitomycin C,CC1=C(C(=O)C2=C(C1=O)N3CC4C(C3(C2COC(=O)N)OC)N4)N,[0. 0. 0. ... 0. 0. 0.]
104,25,391210-10-9,C1=CC(=C(C=C1I)F)NC2=C(C=CC(=C2F)F)C(=O)NOCC(CO)O,[0. 1. 0. ... 0. 0. 0.]
105,26,paclitaxel,CC1=C2C(C(=O)C3(C(CC4C(C3C(C(C2(C)C)(CC1OC(=O)C(C(C5=CC=CC=C5)NC(=O)C6=CC=CC=C6)O)O)OC(=O)C7=CC=CC=C7)(CO4)OC(=O)C)O)C)OC(=O)C,[0. 1. 0. ... 0. 0. 0.]
106,27,7-Ethyl-10-hydroxycamptothecin,CCC1=C2C=C(C=CC2=NC3=C1CN4C3=CC5=C(C4=O)COC(=O)C5(CC)O)O,[0. 0. 0. ... 0. 0. 0.]
107,28,Sorafenib,CNC(=O)C1=NC=CC(=C1)OC2=CC=C(C=C2)NC(=O)NC3=CC(=C(C=C3)Cl)C(F)(F)F,[0. 0. 0. ... 0. 0. 0.]
108,29,Sunitinib,CCN(CC)CCNC(=O)C1=C(NC(=C1C)C=C2C3=C(C=CC(=C3)F)NC2=O)C,[0. 0. 0. ... 0. 0. 0.]
109,30,temozolomide,CN1C(=O)N2C=NC(=C2N=N1)C(=O)N,[0. 0. 0. ... 0. 0. 0.]
110,31,topotecan,CCC1(C2=C(COC1=O)C(=O)N3CC4=C(C3=C2)N=C5C=CC(=C(C5=C4)CN(C)C)O)O,[0. 0. 0. ... 0. 0. 0.]
111,32,vinblastine,CCC1(CC2CC(C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)C78CCN9C7C(C=CC9)(C(C(C8N6C)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O,[0. 0. 0. ... 0. 0. 0.]
112,33,vinorelbine,CCC1=CC2CC(C3=C(CN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)C78CCN9C7C(C=CC9)(C(C(C8N6C)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC,[0. 0. 0. ... 0. 0. 0.]
113,34,Vorinostat,C1=CC=C(C=C1)NC(=O)CCCCCCC(=O)NO,[0. 0. 0. ... 0. 0. 0.]
114,35,geldanamycin,CC1CC(C(C(C=C(C(C(C=CC=C(C(=O)NC2=CC(=O)C(=C(C1)C2=O)OC)C)OC)OC(=O)N)C)C)O)OC,[0. 0. 0. ... 0. 0. 0.]
115,36,Fludarabine,C1=NC2=C(N1C3C(C(C(O3)CO)O)O)N=C(N=C2N)F,[0. 0. 0. ... 0. 0. 0.]
116,37,Abiraterone,CC12CCC(CC1=CCC3C2CCC4(C3CC=C4C5=CN=CC=C5)C)O,[0. 0. 0. ... 0. 0. 0.]
117,38,allopurinol,C1=C2C(=NC=NC2=O)NN1; C1=NNC2=C1C(=O)NC=N2,[]
118,39,altretamine,CN(C)C1=NC(=NC(=N1)N(C)C)N(C)C,[0. 0. 0. ... 0. 0. 0.]
119,40,amifostine,C(CN)CNCCSP(=O)(O)O,[0. 0. 0. ... 0. 1. 0.]
120,41,5-Aminolevulinic acid hydrochloride,C(CC(=O)O)C(=O)CN.Cl,[0. 0. 0. ... 0. 0. 0.]
121,42,anastrozole,CC(C)(C#N)C1=CC(=CC(=C1)CN2C=NC=N2)C(C)(C)C#N,[0. 0. 0. ... 0. 0. 0.]
122,43,Axitinib,CNC(=O)C1=CC=CC=C1SC2=CC3=C(C=C2)C(=NN3)C=CC4=CC=CC=N4,[0. 0. 0. ... 0. 0. 0.]
123,44,5-azacytidine,C1=NC(=NC(=O)N1C2C(C(C(O2)CO)O)O)N,[0. 0. 0. ... 0. 0. 0.]
124,45,Bendamustine hydrochloride,CN1C2=C(C=C(C=C2)N(CCCl)CCCl)N=C1CCCC(=O)O.Cl,[1. 0. 0. ... 0. 0. 0.]
125,46,Bleomycin sulfate,CC1=C(N=C(N=C1N)C(CC(=O)N)NCC(C(=O)N)N)C(=O)NC(C(C2=CN=CN2)OC3C(C(C(C(O3)CO)O)O)OC4C(C(C(C(O4)CO)O)OC(=O)N)O)C(=O)NC(C)C(C(C)C(=O)NC(C(C)O)C(=O)NCCC5=NC(=CS5)C6=NC(=CS6)C(=O)NCCC[S+](C)C)O.OS(=O)(=O)[O-],[0. 1. 0. ... 1. 0. 0.]
126,47,busulfan,CS(=O)(=O)OCCCCOS(=O)(=O)C,[0. 0. 0. ... 0. 0. 0.]
127,48,CABAZITAXEL,CC1=C2C(C(=O)C3(C(CC4C(C3C(C(C2(C)C)(CC1OC(=O)C(C(C5=CC=CC=C5)NC(=O)OC(C)(C)C)O)O)OC(=O)C6=CC=CC=C6)(CO4)OC(=O)C)OC)C)OC,[0. 1. 0. ... 0. 0. 0.]
128,49,CAPECITABINE,CCCCCOC(=O)NC1=NC(=O)N(C=C1F)C2C(C(C(O2)C)O)O,[0. 0. 0. ... 0. 0. 0.]
129,50,carmustine,C(CCl)NC(=O)N(CCCl)N=O,[0. 0. 0. ... 0. 0. 0.]
130,51,celecoxib,CC1=CC=C(C=C1)C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C(F)(F)F,[0. 0. 0. ... 0. 0. 0.]
131,52,chlorambucil,C1=CC(=CC=C1CCCC(=O)O)N(CCCl)CCCl,[0. 0. 0. ... 0. 0. 0.]
132,53,Cladribine,C1C(C(OC1N2C=NC3=C2N=C(N=C3N)Cl)CO)O,[0. 0. 0. ... 0. 0. 0.]
133,54,Clofarabine,C1=NC2=C(N1C3C(C(C(O3)CO)O)F)N=C(N=C2N)Cl,[0. 0. 0. ... 0. 0. 0.]
134,55,Crizotinib,CC(C1=C(C=CC(=C1Cl)F)Cl)OC2=C(N=CC(=C2)C3=CN(N=C3)C4CCNCC4)N,[0. 1. 0. ... 0. 0. 0.]
135,56,CYTARABINE HYDROCHLORIDE,C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)O.Cl,[0. 0. 0. ... 0. 0. 0.]
136,57,dacarbazine,CN(C)NN=C1C(=NC=N1)C(=O)N; CN(C)N=NC1=C(NC=N1)C(=O)N,[]
137,58,DACTINOMYCIN,CC1C(C(=O)NC(C(=O)N2CCCC2C(=O)N(CC(=O)N(C(C(=O)O1)C(C)C)C)C)C(C)C)NC(=O)C3=C4C(=C(C=C3)C)OC5=C(C(=O)C(=C(C5=N4)C(=O)NC6C(OC(=O)C(N(C(=O)CN(C(=O)C7CCCN7C(=O)C(NC6=O)C(C)C)C)C)C(C)C)C)N)C,[0. 1. 0. ... 0. 0. 0.]
